,hhid,longitude,latitude,altitude,kebele
19221,DT0102043,37.75548,12.97713,2577,DT01
19222,DT0102041,37.75518,12.97615,2583,DT01
19223,DT0102040,37.75539,12.976175,2602,DT01
19224,DT0102039,37.75338,12.97294,2598,DT01
19225,DT0102037,37.75533,12.97698,2586,DT01
19226,DT0102036,37.75526,12.97615,2579,DT01
19227,DT0102035,37.75526,12.97615,2579,DT01
19228,DT0102034,37.75525,12.97615,2578,DT01
19229,DT0103035,37.455,12.58552,2584,DT01
19230,DT0102030,37.77168,12.98345,2621,DT01
19231,DT0102028,37.77291,12.98345,2617,DT01
19232,DT0102027,37.76067,12.98342,2595,DT01
19233,DT0102026,37.76754,12.98342,2606,DT01
19234,DT0102025,37.7645,12.98342,2587,DT01
19235,DT0102024,37.76382,12.98342,2580,DT01
19236,DT0102021,37.46018,12.58596,2582,DT01
19237,DT0102019,37.76194,12.9834,2574,DT01
19238,DT0102017,37.76265,12.9834,2576,DT01
19239,DT0102016,37.76238,12.9834,2575,DT01
19240,DT0102011,37.75986,12.98339,2582,DT01
19241,DT0102350,37.76196,12.97995,2596,DT01
19242,DT0102010,37.77016,12.98339,2607,DT01
19243,DT0102008,37.77041,12.98339,2587,DT01
19244,DT0102007,37.77246,12.98338,2610,DT01
19245,DT0103148,37.77099,12.9826,2599,DT01
19246,DT0102005,37.76997,12.98338,2608,DT01
19247,DT0102004,37.78622,12.98345,2611,DT01
19248,DT0102003,37.76625,12.98338,2605,DT01
19249,DT0102001,37.76994,12.98337,2587,DT01
19250,DT0102000,37.7654,12.98337,2586,DT01
19251,DT0101998,37.76526,12.97976,2608,DT01
19252,DT0101997,37.78774,12.98336,2607,DT01
19253,DT0101996,37.78776,12.98315,2608,DT01
19254,DT0101995,37.78775,12.98336,2609,DT01
19255,DT0101994,37.77051,12.98359,2598,DT01
19256,DT0101993,37.7722,12.98358,2618,DT01
19257,DT0101992,37.7699,12.98358,2606,DT01
19258,DT0101991,37.77271,12.98358,2610,DT01
